canonical,alias
Allowance for Doubtful Accounts,Allowance for Uncollectible Accounts
Bad Debt Expense,Uncollectible Accounts Expense
Bad Debt Expense,Doubtful Accounts Expense
Inventory,Merchandise Inventory
Cost of Goods Sold,Cost of Sales
Unearned Revenue,Deferred Revenue
Unearned Revenue,Unearned Service Revenue
Paid-in Capital in Excess of Par - Common,Additional Paid-in Capital
Paid-in Capital in Excess of Par - Common,Share Premium
Salaries and Wages Expense,Salary Expense
Salaries and Wages Payable,Salaries Payable
Accumulated Depreciation - Equipment,Accumulated Depreciation—Equipment
Right-of-Use Asset,ROU Asset
Sales Revenue,Sales
